item_id,knowledge_code
181,[37]
182,[37]
183,[37]
184,[37]
185,[37]
186,[37]
187,[37]
188,[37]
189,[37]
190,[37]
191,[37]
192,[37]
193,[37]
194,[37]
195,[37]
196,[37]
197,[37]
198,[37]
199,[37]
200,[37]
201,[37]
202,[37]
203,[37]
204,[190]
205,[71]
206,[204]
207,[204]
208,[204]
209,[37]
210,[37]
211,[37]
212,[37]
213,[37]
214,[37]
215,[37]
216,[37]
217,[37]
218,[37]
219,[25]
220,[210]
221,[197]
222,[29]
223,[221]
224,[241]
225,[71]
226,[104]
227,[104]
228,[25]
229,[241]
230,[209]
231,[174]
232,[204]
233,[204]
234,[190]
235,[219]
236,[221]
237,[190]
238,[29]
239,[241]
240,[241]
241,[167]
242,[121]
243,[163]
244,[167]
245,[212]
246,[45]
247,[184]
248,[32]
249,[155]
250,[241]
251,[29]
252,[171]
253,[219]
254,[219]
255,[171]
256,[190]
257,[241]
258,[223]
259,[174]
260,[71]
261,[3]
262,[204]
263,[241]
264,[104]
265,[92]
266,[142]
267,[20]
268,[234]
269,[32]
270,[190]
271,[161]
272,[62]
273,[175]
274,[231]
275,[230]
276,[207]
277,[91]
278,[92]
279,[191]
280,[205]
281,[161]
282,[139]
283,[207]
284,[90]
285,[79]
286,[79]
287,[198]
288,[244]
289,[195]
290,[164]
291,[144]
292,[205]
293,[90]
294,[139]
295,[235]
296,[166]
297,[81]
298,[84]
299,[161]
300,[20]
301,[122]
302,[35]
303,[246]
304,[147]
305,[45]
306,[191]
307,[191]
308,[176]
309,[198]
310,[161]
311,[33]
312,[161]
313,[6]
314,[57]
315,[32]
316,[53]
317,[24]
318,[6]
319,[242]
320,[65]
321,[123]
322,[90]
323,[97]
324,[97]
325,[97]
326,[97]
327,[97]
328,[97]
329,[97]
330,[97]
331,[97]
332,[30]
333,[30]
334,[197]
335,[60]
336,[32]
337,[188]
338,[64]
339,[32]
340,[220]
341,[220]
342,[156]
343,[128]
344,[190]
345,"[92, 180]"
346,[133]
347,[197]
348,[92]
349,[65]
350,"[71, 134]"
351,[85]
352,[203]
353,[121]
354,[197]
355,[139]
356,[41]
357,"[190, 84]"
358,[161]
359,[227]
360,[58]
361,[171]
362,[197]
363,[197]
364,[197]
365,[114]
366,[190]
367,[33]
368,[123]
369,[57]
370,[33]
371,[110]
372,[53]
373,[190]
374,[117]
375,[156]
376,[71]
377,[190]
378,[161]
379,[136]
380,[33]
381,[125]
382,[22]
383,[65]
384,[204]
385,[22]
386,[24]
387,[92]
388,[82]
389,[198]
390,[171]
391,[157]
392,[157]
393,[154]
394,[214]
395,[49]
396,[125]
397,[236]
398,[165]
399,[141]
400,[147]
401,[244]
402,[145]
403,[147]
404,[71]
405,[171]
406,[161]
407,[123]
408,[147]
409,"[161, 13]"
410,[139]
411,[190]
412,[24]
413,[84]
414,[194]
415,[32]
416,[6]
417,[6]
418,[190]
419,[57]
420,[77]
421,[190]
422,[92]
423,[119]
424,[197]
425,[9]
426,[225]
427,[161]
428,[169]
429,[190]
430,[165]
431,[195]
432,[53]
433,[92]
434,[65]
435,[192]
436,[139]
437,"[63, 121]"
438,[156]
439,[13]
440,[52]
441,[23]
442,[156]
443,[89]
444,[3]
445,[190]
446,[139]
447,[171]
448,[214]
449,[197]
450,[71]
451,[102]
452,[156]
453,[190]
454,[52]
455,[66]
456,[32]
457,[32]
458,[32]
459,[32]
460,[32]
461,[32]
462,[32]
463,[32]
464,[32]
465,[32]
466,[32]
467,[32]
468,[32]
469,[64]
470,[64]
471,[64]
472,[64]
473,[64]
474,[64]
475,[64]
476,[64]
477,[64]
478,[64]
479,[64]
480,[64]
481,[138]
482,[138]
483,[138]
484,[138]
485,[138]
486,[138]
487,[216]
488,[216]
489,[216]
490,[216]
491,[216]
492,[216]
493,[216]
494,[4]
495,[4]
496,[4]
497,[4]
498,[193]
499,[193]
500,[193]
501,[193]
502,[193]
503,[193]
504,[193]
505,[92]
506,[201]
507,[92]
508,[107]
509,[92]
510,[92]
511,[92]
512,[71]
513,[3]
514,[107]
515,[107]
516,[201]
517,[92]
518,[201]
519,[212]
520,[32]
521,[147]
522,[24]
523,[92]
524,[63]
525,[198]
526,[49]
527,[49]
528,[49]
529,[154]
530,[133]
531,[49]
532,[125]
533,[147]
534,[92]
535,[105]
536,[147]
537,[244]
538,[145]
539,[147]
540,[71]
541,[171]
542,[161]
543,[123]
544,[147]
545,[161]
546,[139]
547,[190]
548,[140]
549,[84]
550,[111]
551,[197]
552,[6]
553,[6]
554,[192]
555,[143]
556,[77]
557,[190]
558,[92]
559,[119]
560,[197]
561,[9]
562,[135]
563,[156]
564,[60]
565,[101]
566,[63]
567,[204]
568,[159]
569,[183]
570,[183]
571,[225]
572,[173]
573,[225]
574,[159]
575,[159]
576,[226]
577,[3]
578,[159]
579,[159]
580,[159]
581,[95]
582,[156]
583,[159]
584,[92]
585,[170]
586,[152]
587,[65]
588,[159]
589,[124]
590,[41]
591,[190]
592,[178]
593,[189]
594,[53]
595,[108]
596,[190]
597,[32]
598,[152]
599,[100]
600,"[134, 71]"
601,[122]
602,[171]
603,[24]
604,[70]
605,[10]
606,[63]
607,[161]
608,[171]
609,[3]
610,[46]
611,[6]
612,[92]
613,[180]
614,[88]
615,[200]
616,[159]
617,[225]
618,[156]
619,[124]
620,[159]
621,[151]
622,[124]
623,[159]
624,[159]
625,[64]
626,[32]
627,[159]
628,[38]
629,[38]
630,[159]
631,[31]
632,[128]
633,[217]
634,[110]
635,[159]
636,[92]
637,[159]
638,[159]
639,[32]
640,[6]
641,[110]
642,[6]
643,[68]
644,[159]
645,[159]
646,[159]
647,[92]
648,"[63, 121]"
649,[159]
650,[159]
651,[183]
652,[38]
653,[216]
654,[190]
655,[127]
656,[71]
657,[41]
658,[211]
659,[160]
660,[156]
661,[118]
662,[190]
663,[156]
664,[91]
665,[115]
666,[104]
667,[224]
668,[63]
669,"[63, 121]"
670,[18]
671,[6]
672,[22]
673,[186]
674,[244]
675,[115]
676,[92]
677,[3]
678,[1]
679,[122]
680,[161]
681,[60]
682,[53]
683,[53]
684,[148]
685,[156]
686,[215]
687,[161]
688,[60]
689,[233]
690,[57]
691,[214]
692,[84]
693,[225]
694,[5]
695,[169]
696,[52]
697,[190]
698,[53]
699,"[198, 150]"
700,[190]
701,[195]
702,[65]
703,[225]
704,[75]
705,[204]
706,[139]
707,"[161, 230]"
708,[32]
709,[65]
710,[71]
711,[161]
712,[190]
713,[81]
714,[84]
715,[81]
716,[81]
717,[228]
718,[91]
719,[12]
720,[26]
721,[187]
722,[233]
723,[121]
724,[50]
725,[1]
726,[26]
727,[61]
728,[81]
729,[61]
730,[26]
731,[61]
732,"[228, 187]"
733,[26]
734,[68]
735,[47]
736,[92]
737,[92]
738,[156]
739,[190]
740,[3]
741,[101]
742,[13]
743,[214]
744,"[121, 18]"
745,[68]
746,[120]
747,[206]
748,[205]
749,[156]
750,[221]
751,[204]
752,[90]
753,[90]
754,[90]
755,[28]
756,[245]
757,[197]
758,[98]
759,[141]
760,[139]
761,[119]
762,[245]
763,[241]
764,[241]
765,[241]
766,[209]
767,[3]
768,[6]
769,[156]
770,[105]
771,[112]
772,[245]
773,[24]
774,[101]
775,[245]
776,[103]
777,[92]
778,[63]
779,[60]
780,[171]
781,[171]
782,[171]
783,[37]
784,[214]
785,[33]
786,[101]
787,[3]
788,[128]
789,[105]
790,[147]
791,[244]
792,[181]
793,[94]
794,[71]
795,[225]
796,[161]
797,[238]
798,[147]
799,[161]
800,[139]
801,[190]
802,[24]
803,[84]
804,[194]
805,[64]
806,[136]
807,[3]
808,[192]
809,"[91, 143]"
810,[77]
811,[190]
812,[92]
813,[119]
814,[32]
815,[9]
816,"[92, 198]"
817,[63]
818,[72]
819,[183]
820,[159]
821,[171]
822,[156]
823,[145]
824,[159]
825,[226]
826,[185]
827,[52]
828,[32]
829,[159]
830,[159]
831,[21]
832,[156]
833,[92]
834,[92]
835,[92]
836,[152]
837,[65]
838,[159]
839,[124]
840,[190]
841,[178]
842,[4]
843,[53]
844,[72]
845,[244]
846,[197]
847,[152]
848,[156]
849,[156]
850,[128]
851,[182]
852,[182]
853,[83]
854,[194]
855,[63]
856,[161]
857,[196]
858,[128]
859,[128]
860,[128]
861,"[63, 184]"
862,[92]
863,[92]
864,[117]
865,[116]
866,[134]
867,[190]
868,[230]
869,[106]
870,[43]
871,[171]
872,[221]
873,[221]
874,[221]
875,[19]
876,[172]
877,[197]
878,[10]
879,[10]
880,[216]
881,[132]
882,[134]
883,[92]
884,[229]
885,[134]
886,[190]
887,"[186, 192]"
888,[76]
889,[24]
890,[171]
891,[221]
892,[221]
893,[31]
894,[243]
895,[47]
896,[59]
897,[59]
898,[197]
899,[109]
900,[20]
901,[196]
902,[137]
903,[71]
904,[190]
905,[122]
906,[161]
907,[156]
908,[22]
909,[57]
910,[213]
911,[5]
912,[240]
913,[136]
914,[53]
915,[53]
916,[10]
917,[230]
918,[24]
919,[6]
920,[205]
921,[90]
922,[3]
923,[1]
924,[1]
925,[2]
926,[204]
927,[121]
928,[1]
929,[171]
930,[129]
931,[93]
932,[2]
933,[133]
934,[156]
935,[92]
936,"[92, 180]"
937,[71]
938,[51]
939,[203]
940,[121]
941,[156]
942,[139]
943,[22]
944,[190]
945,[161]
946,[227]
947,[203]
948,[225]
949,[156]
950,[156]
951,[156]
952,[73]
953,"[71, 190]"
954,[63]
955,[123]
956,[57]
957,[33]
958,[110]
959,[53]
960,[190]
961,[117]
962,[156]
963,[71]
964,[155]
965,[161]
966,[8]
967,[33]
968,[101]
969,[74]
970,[65]
971,[204]
972,[22]
973,[78]
974,[230]
975,[161]
976,[244]
977,[78]
978,[78]
979,[78]
980,[87]
981,[92]
982,[78]
983,[208]
984,[64]
985,[99]
986,[216]
987,[122]
988,[128]
989,[128]
990,[222]
991,[128]
992,[159]
993,[159]
994,[64]
995,[32]
996,[32]
997,[77]
998,[33]
999,[116]
1000,[197]
1001,[147]
1002,[147]
1003,[124]
1004,[124]
1005,[3]
1006,[159]
1007,[6]
1008,[147]
1009,[159]
1010,[3]
1011,[152]
1012,[159]
1013,[190]
1014,[232]
1015,[159]
1016,[42]
1017,[34]
1018,[197]
1019,[216]
1020,[27]
1021,[156]
1022,[192]
1023,[92]
1024,[30]
1025,[156]
1026,[156]
1027,[92]
1028,[68]
1029,[147]
1030,[213]
1031,[159]
1032,[37]
1033,[159]
1034,[159]
1035,[162]
1036,[147]
1037,[218]
1038,[19]
1039,[68]
1040,[32]
1041,[159]
1042,[159]
1043,[159]
1044,[156]
1045,[225]
1046,[3]
1047,[202]
1048,[239]
1049,[92]
1050,[146]
1051,[54]
1052,[91]
1053,[139]
